Повтор,Погрузка,Время общее,Пробег общий,Утил.,Утил. %,АХ/Аренда/Найм,Характеристики ТС,ID маршрута,Порядковый номер,Госномер / Наименование ТС,Водитель,Статус,Дата доставки,Точка отгрузки,Порядковый номер точки,Тип операции на точке,Наименование точки,Получатель,Адрес точки,Координаты (Широта;Долгота),Зона доставки,"Прибытие на точку, план","Убытие с точки, план",Продолжительность пребывания на точке,Величина опоздания,Величина ожидания,Начало окна приемки,Окончание окна приемки,"Пробег от предыдущей точки, км",Номер заказа,"Грузомест, шт",Тип ГМ,"Паллет, шт","Вес груза, кг","Объем груза, м3"
1,A111AA799,"6 ч, 23 мин","105 км, 761 м",10/10,100.0,Найм,5т,,1,A111AA799,,Черновик,28.03.2025,8023,1,Погрузка,8023,,,55.668845;37.647295,,28.03.2025 07:30,28.03.2025 09:00,"1 ч, 30 мин",0,0,,,0.0,,,Паллета,,,
0,A111AA799,"6 ч, 23 мин","105 км, 761 м",10/10,100.0,Найм,5т,,1,A111AA799,,Черновик,28.03.2025,8023,2,Разгрузка,927877,,"141207, г. Пушкино, ул. Лермонтова, 2",56.01367;37.84186,,28.03.2025 10:25,28.03.2025 11:05,"0 ч, 40 мин",0,0,28.03.2025 09:40,28.03.2025 14:20,53.003,,1.4,Паллета,2,,
0,A111AA799,"6 ч, 23 мин","105 км, 761 м",10/10,100.0,Найм,5т,,1,A111AA799,,Черновик,28.03.2025,8023,3,Разгрузка,1410,,"Московская обл., Пушкино г., Чехова ул., д.12",56.00871;37.85191,,28.03.2025 11:50,28.03.2025 12:30,"0 ч, 40 мин",0,0,28.03.2025 08:40,28.03.2025 13:20,2.201,,8.0,Паллета,8,,
0,A111AA799,"6 ч, 23 мин","105 км, 761 м",10/10,100.0,Найм,5т,,1,A111AA799,,Черновик,28.03.2025,8023,4,Возврат тары,8023,,,55.668845;37.647295,,28.03.2025 13:53,28.03.2025 13:53,"0 ч, 0 мин",0,0,,,50.557,,,Паллета,,,
1,A111AA800,"5 ч, 42 мин","50 км, 772 м",10/10,100.0,Найм,5т,,2,A111AA800,,Черновик,28.03.2025,8023,1,Погрузка,8023,,,55.668845;37.647295,,28.03.2025 06:30,28.03.2025 08:00,"1 ч, 30 мин",0,0,,,0.0,,,Паллета,,,
0,A111AA800,"5 ч, 42 мин","50 км, 772 м",10/10,100.0,Найм,5т,,2,A111AA800,,Черновик,28.03.2025,8023,2,Разгрузка,1384,,"Москва г., Краснобогатырская ул., д.13",55.81528;37.69396,,28.03.2025 09:05,28.03.2025 09:45,"0 ч, 40 мин",0,0,28.03.2025 08:40,28.03.2025 14:20,25.116,,6.0,Паллета,6,,
0,A111AA800,"5 ч, 42 мин","50 км, 772 м",10/10,100.0,Найм,5т,,2,A111AA800,,Черновик,28.03.2025,8023,3,Разгрузка,1415,,"г. Москва, Краснобогатырская ул., д.23",55.81163;37.70281,,28.03.2025 10:28,28.03.2025 11:08,"0 ч, 40 мин",0,0,28.03.2025 08:10,28.03.2025 13:20,1.495,,4.0,Паллета,4,,
0,A111AA800,"5 ч, 42 мин","50 км, 772 м",10/10,100.0,Найм,5т,,2,A111AA800,,Черновик,28.03.2025,8023,4,Возврат тары,8023,,,55.668845;37.647295,,28.03.2025 12:12,28.03.2025 12:12,"0 ч, 0 мин",0,0,,,24.161,,,Паллета,,,
1,A111AA801,"5 ч, 44 мин","50 км, 949 м",10/10,100.0,Найм,5т,,3,A111AA801,,Черновик,28.03.2025,8023,1,Погрузка,8023,,,55.668845;37.647295,,28.03.2025 06:00,28.03.2025 07:30,"1 ч, 30 мин",0,0,,,0.0,,,Паллета,,,
0,A111AA801,"5 ч, 44 мин","50 км, 949 м",10/10,100.0,Найм,5т,,3,A111AA801,,Черновик,28.03.2025,8023,2,Разгрузка,1402,,"Москва г, Чусовская ул., д 13",55.81581;37.81111,,28.03.2025 08:34,28.03.2025 09:14,"0 ч, 40 мин",0,0,28.03.2025 08:10,28.03.2025 13:20,23.673,,5.0,Паллета,5,,
0,A111AA801,"5 ч, 44 мин","50 км, 949 м",10/10,100.0,Найм,5т,,3,A111AA801,,Черновик,28.03.2025,8023,3,Разгрузка,1363,,"Москва г, Хабаровская ул., д 12/23",55.82175;37.82676,,28.03.2025 09:58,28.03.2025 10:38,"0 ч, 40 мин",0,0,28.03.2025 08:40,28.03.2025 13:20,1.892,,5.0,Паллета,5,,
0,A111AA801,"5 ч, 44 мин","50 км, 949 м",10/10,100.0,Найм,5т,,3,A111AA801,,Черновик,28.03.2025,8023,4,Возврат тары,8023,,,55.668845;37.647295,,28.03.2025 11:44,28.03.2025 11:44,"0 ч, 0 мин",0,0,,,25.384,,,Паллета,,,
1,A111AA802,"5 ч, 41 мин","48 км, 709 м",9/10,90.0,Найм,5т,,4,A111AA802,,Черновик,28.03.2025,8023,1,Погрузка,8023,,,55.668845;37.647295,,28.03.2025 06:30,28.03.2025 08:00,"1 ч, 30 мин",0,0,,,0.0,,,Паллета,,,
0,A111AA802,"5 ч, 41 мин","48 км, 709 м",9/10,90.0,Найм,5т,,4,A111AA802,,Черновик,28.03.2025,8023,2,Разгрузка,1352,,"г. Москва 15-я Парковая ул., д. 40, к. 1",55.80508;37.8192,,28.03.2025 09:04,28.03.2025 09:44,"0 ч, 40 мин",0,0,28.03.2025 08:40,28.03.2025 13:20,23.9,,6.0,Паллета,6,,
0,A111AA802,"5 ч, 41 мин","48 км, 709 м",9/10,90.0,Найм,5т,,4,A111AA802,,Черновик,28.03.2025,8023,3,Разгрузка,1371,,"Москва г., 9-я Парковая ул., д 68 к 5",55.80813;37.79943,,28.03.2025 10:28,28.03.2025 11:08,"0 ч, 40 мин",0,0,28.03.2025 09:40,28.03.2025 13:20,2.011,,3.0,Паллета,3,,
0,A111AA802,"5 ч, 41 мин","48 км, 709 м",9/10,90.0,Найм,5т,,4,A111AA802,,Черновик,28.03.2025,8023,4,Возврат тары,8023,,,55.668845;37.647295,,28.03.2025 12:11,28.03.2025 12:11,"0 ч, 0 мин",0,0,,,22.798,,,Паллета,,,
1,A111AA803,"5 ч, 38 мин","41 км, 899 м",9/10,90.0,Найм,5т,,5,A111AA803,,Черновик,28.03.2025,8023,1,Погрузка,8023,,,55.668845;37.647295,,28.03.2025 06:30,28.03.2025 08:00,"1 ч, 30 мин",0,0,,,0.0,,,Паллета,,,
0,A111AA803,"5 ч, 38 мин","41 км, 899 м",9/10,90.0,Найм,5т,,5,A111AA803,,Черновик,28.03.2025,8023,2,Разгрузка,1336,,"г. Москва, ул. Хромова, д. 3",55.79987;37.71606,,28.03.2025 09:03,28.03.2025 09:43,"0 ч, 40 мин",0,0,28.03.2025 08:40,28.03.2025 14:20,20.65,,4.0,Паллета,4,,
0,A111AA803,"5 ч, 38 мин","41 км, 899 м",9/10,90.0,Найм,5т,,5,A111AA803,,Черновик,28.03.2025,8023,3,Разгрузка,1425,,"г. Москва Колодезный пер., д. 3",55.79818;37.69744,,28.03.2025 10:27,28.03.2025 11:07,"0 ч, 40 мин",0,0,28.03.2025 08:40,28.03.2025 13:20,2.003,,5.0,Паллета,5,,
0,A111AA803,"5 ч, 38 мин","41 км, 899 м",9/10,90.0,Найм,5т,,5,A111AA803,,Черновик,28.03.2025,8023,4,Возврат тары,8023,,,55.668845;37.647295,,28.03.2025 12:08,28.03.2025 12:08,"0 ч, 0 мин",0,0,,,19.246,,,Паллета,,,
1,A111AA809,"14 ч, 21 мин","990 км, 150 м",13/14,92.85714285714286,Найм,6т,,6,A111AA809,,Черновик,28.03.2025,8023,1,Погрузка,8023,,,55.668845;37.647295,,28.03.2025 09:30,28.03.2025 11:00,"1 ч, 30 мин",0,0,,,0.0,,,Паллета,,,
0,A111AA809,"14 ч, 21 мин","990 км, 150 м",13/14,92.85714285714286,Найм,6т,,6,A111AA809,,Черновик,28.03.2025,8023,2,Разгрузка,3175,,"ВО, с Ямное, ул Ленина, д. 63",51.7905;39.1522,,28.03.2025 16:22,28.03.2025 17:02,"0 ч, 40 мин",0,0,28.03.2025 11:40,28.03.2025 17:20,494.274,,6.0,Паллета,6,,
0,A111AA809,"14 ч, 21 мин","990 км, 150 м",13/14,92.85714285714286,Найм,6т,,6,A111AA809,,Черновик,28.03.2025,8023,3,Разгрузка,3176,,"ВО, с. Ямное, Фельдмаршала Кутузова, 32а",51.81282;39.13987,,28.03.2025 17:46,28.03.2025 18:26,"0 ч, 40 мин",0,0,28.03.2025 11:40,28.03.2025 17:20,3.152,,7.0,Паллета,7,,
0,A111AA809,"14 ч, 21 мин","990 км, 150 м",13/14,92.85714285714286,Найм,6т,,6,A111AA809,,Черновик,28.03.2025,8023,4,Возврат тары,8023,,,55.668845;37.647295,,28.03.2025 23:51,28.03.2025 23:51,"0 ч, 0 мин",0,0,,,492.724,,,Паллета,,,
1,A111AA810,"7 ч, 52 мин","266 км, 605 м",13/14,92.85714285714286,Найм,6т,,7,A111AA810,,Черновик,28.03.2025,8023,1,Погрузка,8023,,,55.668845;37.647295,,28.03.2025 07:30,28.03.2025 09:00,"1 ч, 30 мин",0,0,,,0.0,,,Паллета,,,
0,A111AA810,"7 ч, 52 мин","266 км, 605 м",13/14,92.85714285714286,Найм,6т,,7,A111AA810,,Черновик,28.03.2025,8023,2,Разгрузка,927849,,"МО, г. Руза, Территория Микрорайон 9а",55.70933;36.20352,,28.03.2025 11:10,28.03.2025 11:50,"0 ч, 40 мин",0,0,28.03.2025 09:40,28.03.2025 14:20,133.069,,4.9,Паллета,7,,
0,A111AA810,"7 ч, 52 мин","266 км, 605 м",13/14,92.85714285714286,Найм,6т,,7,A111AA810,,Черновик,28.03.2025,8023,3,Разгрузка,928043,,"143103, г. Руза, ул. Социалистическая, д. 61, помещение 1",55.70354;36.20352,,28.03.2025 12:32,28.03.2025 13:12,"0 ч, 40 мин",0,0,28.03.2025 09:40,28.03.2025 14:20,1.132,,4.2,Паллета,6,,
0,A111AA810,"7 ч, 52 мин","266 км, 605 м",13/14,92.85714285714286,Найм,6т,,7,A111AA810,,Черновик,28.03.2025,8023,4,Возврат тары,8023,,,55.668845;37.647295,,28.03.2025 15:22,28.03.2025 15:22,"0 ч, 0 мин",0,0,,,132.404,,,Паллета,,,
1,A111AA811,"9 ч, 33 мин","263 км, 634 м",13/14,92.85714285714286,Найм,6т,,8,A111AA811,,Черновик,28.03.2025,8023,1,Погрузка,8023,,,55.668845;37.647295,,28.03.2025 07:30,28.03.2025 09:00,"1 ч, 30 мин",0,0,,,0.0,,,Паллета,,,
0,A111AA811,"9 ч, 33 мин","263 км, 634 м",13/14,92.85714285714286,Найм,6т,,8,A111AA811,,Черновик,28.03.2025,8023,2,Разгрузка,928176,,"142611,Россия,Московская обл,г Орехово-Зуево ул Бугрова 12А",55.79979;38.99629,,28.03.2025 11:00,28.03.2025 11:40,"0 ч, 40 мин",0,0,28.03.2025 09:40,28.03.2025 14:20,102.321,,3.5,Паллета,5,,
0,A111AA811,"9 ч, 33 мин","263 км, 634 м",13/14,92.85714285714286,Найм,6т,,8,A111AA811,,Черновик,28.03.2025,8023,3,Разгрузка,927893,,"142600, г. Орехово-Зуево, б-р Центральный, 5, помещение 217",55.80352;38.97849,,28.03.2025 12:27,28.03.2025 13:07,"0 ч, 40 мин",0,0,28.03.2025 09:40,28.03.2025 14:20,4.152,,4.2,Паллета,6,,
0,A111AA811,"9 ч, 33 мин","263 км, 634 м",13/14,92.85714285714286,Найм,6т,,8,A111AA811,,Черновик,28.03.2025,8023,4,Разгрузка,926967,,"МО, г. Пушкино, улица Просвещения, дом 10, корпус 1",56.02639;37.85617,,28.03.2025 14:58,28.03.2025 15:38,"0 ч, 40 мин",0,0,28.03.2025 09:40,28.03.2025 14:20,103.477,,1.4,Паллета,2,,
0,A111AA811,"9 ч, 33 мин","263 км, 634 м",13/14,92.85714285714286,Найм,6т,,8,A111AA811,,Черновик,28.03.2025,8023,5,Возврат тары,8023,,,55.668845;37.647295,,28.03.2025 17:03,28.03.2025 17:03,"0 ч, 0 мин",0,0,,,53.684,,,Паллета,,,
1,A111AA812,"7 ч, 27 мин","197 км, 269 м",13/14,92.85714285714286,Найм,6т,,9,A111AA812,,Черновик,28.03.2025,8023,1,Погрузка,8023,,,55.668845;37.647295,,28.03.2025 07:30,28.03.2025 09:00,"1 ч, 30 мин",0,0,,,0.0,,,Паллета,,,
0,A111AA812,"7 ч, 27 мин","197 км, 269 м",13/14,92.85714285714286,Найм,6т,,9,A111AA812,,Черновик,28.03.2025,8023,2,Разгрузка,3033,,"МО, Дмитровский район, Целеево.",56.24094;37.49911,,28.03.2025 10:47,28.03.2025 11:27,"0 ч, 40 мин",0,0,28.03.2025 09:40,28.03.2025 13:20,85.572,,8.0,Паллета,8,,
0,A111AA812,"7 ч, 27 мин","197 км, 269 м",13/14,92.85714285714286,Найм,6т,,9,A111AA812,,Черновик,28.03.2025,8023,3,Разгрузка,1409,,"Московская обл., Дмитров г., Советская у., д.5",56.34102;37.51773,,28.03.2025 12:22,28.03.2025 13:02,"0 ч, 40 мин",0,0,28.03.2025 09:40,28.03.2025 13:20,14.523,,5.0,Паллета,5,,
0,A111AA812,"7 ч, 27 мин","197 км, 269 м",13/14,92.85714285714286,Найм,6т,,9,A111AA812,,Черновик,28.03.2025,8023,4,Возврат тары,8023,,,55.668845;37.647295,,28.03.2025 14:57,28.03.2025 14:57,"0 ч, 0 мин",0,0,,,97.174,,,Паллета,,,
1,A111AA813,"7 ч, 2 мин","152 км, 161 м",13/14,92.85714285714286,Найм,6т,,10,A111AA813,,Черновик,28.03.2025,8023,1,Погрузка,8023,,,55.668845;37.647295,,28.03.2025 07:30,28.03.2025 09:00,"1 ч, 30 мин",0,0,,,0.0,,,Паллета,,,
0,A111AA813,"7 ч, 2 мин","152 км, 161 м",13/14,92.85714285714286,Найм,6т,,10,A111AA813,,Черновик,28.03.2025,8023,2,Разгрузка,3002,,"МО, Одинцово, Северная 13",55.68183;37.2489,,28.03.2025 10:16,28.03.2025 10:56,"0 ч, 40 мин",0,0,28.03.2025 09:40,28.03.2025 10:20,39.715,,6.0,Паллета,6,,
0,A111AA813,"7 ч, 2 мин","152 км, 161 м",13/14,92.85714285714286,Найм,6т,,10,A111AA813,,Черновик,28.03.2025,8023,3,Разгрузка,927269,,"МО, Одинцовский р-н, п. Часцы, 10",55.61565;36.84409,,28.03.2025 12:10,28.03.2025 12:50,"0 ч, 40 мин",0,0,28.03.2025 10:40,28.03.2025 14:20,30.397,,4.9,Паллета,7,,
0,A111AA813,"7 ч, 2 мин","152 км, 161 м",13/14,92.85714285714286,Найм,6т,,10,A111AA813,,Черновик,28.03.2025,8023,4,Возврат тары,8023,,,55.668845;37.647295,,28.03.2025 14:32,28.03.2025 14:32,"0 ч, 0 мин",0,0,,,82.049,,,Паллета,,,
1,A111AA814,"6 ч, 10 мин","82 км, 414 м",12/14,85.71428571428571,Найм,6т,,11,A111AA814,,Черновик,28.03.2025,8023,1,Погрузка,8023,,,55.668845;37.647295,,28.03.2025 06:30,28.03.2025 08:00,"1 ч, 30 мин",0,0,,,0.0,,,Паллета,,,
0,A111AA814,"6 ч, 10 мин","82 км, 414 м",12/14,85.71428571428571,Найм,6т,,11,A111AA814,,Черновик,28.03.2025,8023,2,Разгрузка,1333,,"г. Москва, Белозерская ул., д.11Г",55.89767;37.61366,,28.03.2025 09:16,28.03.2025 09:56,"0 ч, 40 мин",0,0,28.03.2025 08:40,28.03.2025 13:20,40.362,,4.0,Паллета,4,,
0,A111AA814,"6 ч, 10 мин","82 км, 414 м",12/14,85.71428571428571,Найм,6т,,11,A111AA814,,Черновик,28.03.2025,8023,3,Разгрузка,1393,,"г Москва, Дмитровское шоссе, д 113 к 1",55.8835;37.54137,,28.03.2025 10:47,28.03.2025 11:27,"0 ч, 40 мин",0,0,28.03.2025 08:40,28.03.2025 13:20,9.494,,8.0,Паллета,8,,
